2026-03-27 16:38:36,899 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0847318983000342, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:36,899 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0947318983000343, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:36,899 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0947318983000343, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:36,899 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0947318983000343, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:36,899 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0947318983000343, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:36,899 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0947318983000343, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:37,236 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0950384685581032, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0950384685581032, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0950384685581032, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0950384685581032, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0950384685581032, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0950384685581032, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0850384685581032, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0950384685581032, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0950384685581032, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0950384685581032, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0950384685581032, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
2026-03-27 16:38:37,246 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
2026-03-27 16:38:41,488 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.863453706072243, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:41,494 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.863453706072243, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:41,494 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.863453706072243, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:41,494 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.863453706072243, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:41,494 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.863453706072243, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:41,494 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.863453706072243, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:41,494 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.873453706072243, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:41,494 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.8534537060722434, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:41,494 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.863453706072243, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:41,494 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.863453706072243, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:41,494 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.863453706072243, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:41,496 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.863453706072243, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:41,496 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
2026-03-27 16:38:41,496 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
2026-03-27 16:38:41,496 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
2026-03-27 16:38:41,496 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
2026-03-27 16:38:41,496 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
2026-03-27 16:38:41,496 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
